	1981	1982	1983	1984	1985	1986	1987	1988	1989	1990	1991	1992	1993	1994	1995	1996	1997	1998	1999	2000	2001	2002	2003	2004	2005	2006	2007	2008	2009	2010	2011	2012	2013	2014	2015	2016	2017	2018	2019	2020	2021	2022
AT,CH,ZA																																					4					
AT,CH,null																													13													
AT,CM																																				7	2					
AT,CN								33	2						6	2			8					4		30	14			1		43	33	54	112	6	74		50	60	29	52
AT,CN,CZ,NL																																			11							
AT,CN,CZ,TH																																							5			
AT,CN,DE																															2							22	157			
AT,CN,DE,HU,US																																	6									
AT,CN,DE,IN																																		2								
AT,CN,DE,IT,PK																																										9
AT,CN,DE,IT,RO																																								3		
AT,CN,EG																							1																			
AT,CN,GB																																						8	8			
AT,CN,HR																																					3					
AT,CN,IN																																			7							
AT,CN,IN,US,ZA																																		4								
AT,CN,IR																																										
AT,CN,NL										1	7																															2
AT,CN,PT																																		22	27							
AT,CN,RU																																									22	
AT,CN,TH																																									5	11
AT,CN,US																																				4	11		4			
AT,CO																																2	1									
AT,CO,US																															1											
AT,CU																4		4																		1						3
AT,CU,DE																																										7
AT,CZ															19	27	37			6			4	47	34	8			7		3				4	4	13	12	94	104	57	127
AT,CZ,DE														2														4										4	23			
AT,CZ,DE,DZ,IT																																					1					
AT,CZ,DE,MD,SK																																	5									
AT,CZ,DE,SK																															14											
AT,CZ,DZ																																				7						
AT,CZ,FI																																	1									
AT,CZ,FR																																									6	
AT,CZ,GB																																			4							
AT,CZ,GB,IL,SK,US																							4																			
AT,CZ,GB,PL																																									3	
AT,CZ,HR																																										44
AT,CZ,HR,US																																				9						
AT,CZ,HU																																							15			
AT,CZ,HU,IT																																					1					
AT,CZ,IT																								3																		
AT,CZ,JP,RU,UA																																		17								
AT,CZ,JP,US																																			2	3						
AT,CZ,LT																																		13				37		42		
AT,CZ,NL		1																																								
AT,CZ,RU																																							6		5	1
AT,CZ,RU,SE																																						4				
AT,CZ,RU,SK																																							21			
AT,CZ,SK																																		3				10	1	2		
AT,CZ,UA																																			7	4						
AT,CZ,US																						2											1		11	9		7	15	4	16	
AT,DE	64	33	58	108	40	143	85	33	80	53	112	20	44	118	206	141	236	241	136	85	86	44	80	136	81	121	231	135	314	161	324	198	539	364	247	475	171	312	329	241	532	491
AT,DE,DK												7	26															1							1							
AT,DE,DK,GB																																									1	
AT,DE,DK,GB,KR,US																																										11
AT,DE,DK,IT																																										7
AT,DE,DK,US																																								9		
AT,DE,EG																																										36
AT,DE,EG,ES																				2																						
AT,DE,EG,ES,FR																									1																	
AT,DE,ES																																	19				37			2		
AT,DE,ES,FR,GB,IT																																										
AT,DE,ES,IT																																8										
AT,DE,ES,IT,US																																										3
AT,DE,ES,NL,SE																																							13			
AT,DE,ET																			7	2																						
